basket,dir,start,end,duration_s,n_entries,total_lots,max_simul_lots,wavg_entry,wavg_exit,first_entry,last_entry,entry_span,gross_profit,swap,comm,net,profit_per_001lot,exit_dist_from_wae,n_close_events,all_closed_together,med_gap_s,max_gap_s,med_price_step,n_partial,outcome
S011,short,2026-06-29 17:53:01,2026-06-29 18:01:03,482.0,2,0.04,0.04,4026.36,4024.3949999999995,4024.15,4028.57,4.420000000000073,7.859999999999999,0.0,0.0,7.859999999999999,1.9649999999999999,1.9650000000006003,1,True,212.0,212.0,4.420000000000073,0,profit
L016,long,2026-06-29 17:59:26,2026-06-29 18:15:45,979.0,3,0.07,0.07,4022.5457142857144,4025.465714285714,4025.22,4020.74,4.480000000000018,20.439999999999998,0.0,0.0,20.439999999999998,2.9199999999999995,2.919999999999618,1,True,431.0,627.0,2.240000000000009,0,profit
L017,long,2026-06-29 18:21:30,2026-06-29 18:29:07,457.0,2,0.04,0.04,4019.655,4022.2999999999997,4021.04,4018.27,2.769999999999982,10.58,0.0,0.0,10.58,2.645,2.644999999999527,1,True,160.0,160.0,2.769999999999982,0,profit
S012,short,2026-06-29 18:29:19,2026-06-29 18:35:17,358.0,3,0.07,0.07,4023.607142857142,4021.491428571428,4021.5,4025.13,3.630000000000109,14.81,0.0,0.0,14.81,2.1157142857142857,2.115714285714148,1,True,56.0,67.0,1.8150000000000546,0,profit
L018,long,2026-06-29 18:38:07,2026-06-29 18:39:16,69.0,1,0.02,0.02,4018.5300000000007,4021.94,4018.53,4018.53,0.0,6.82,0.0,0.0,6.82,3.41,3.4099999999993997,1,True,,,,0,profit
S013,short,2026-06-29 18:47:48,2026-06-29 19:06:00,1092.0,3,0.07,0.07,4026.767142857142,4024.7571428571428,4024.99,4028.35,3.3600000000001273,14.07,0.0,0.0,14.07,2.01,2.009999999999309,2,True,174.5,264.0,1.6800000000000637,0,profit
L019,long,2026-06-29 19:00:59,2026-06-29 19:49:42,2923.0,4,0.11000000000000001,0.11000000000000001,4022.7090909090907,4025.0636363636354,4026.83,4020.17,6.6599999999998545,25.900000000000002,0.0,0.0,25.900000000000002,2.3545454545454545,2.3545454545446773,2,True,866.0,1021.0,2.269999999999982,0,profit
S014,short,2026-06-29 19:48:38,2026-06-29 20:26:02,2244.0,3,0.07,0.07,4027.2171428571423,4025.091428571428,4023.39,4030.06,6.670000000000073,14.88,0.0,0.0,14.88,2.1257142857142854,2.1257142857143663,1,True,600.5,1068.0,3.3350000000000364,0,profit
L020,long,2026-06-29 20:00:30,2026-06-29 20:05:19,289.0,1,0.02,0.02,4025.15,4027.29,4025.15,4025.15,0.0,4.28,0.0,0.0,4.28,2.14,2.1399999999998727,1,True,,,,0,profit
L021,long,2026-06-29 20:24:31,2026-06-29 21:13:20,2929.0,4,0.11000000000000001,0.11000000000000001,4023.167272727272,4023.574545454544,4027.81,4020.68,7.130000000000109,4.48,0.0,0.0,4.48,0.40727272727272723,0.4072727272719021,1,True,360.0,1592.0,2.549999999999727,0,profit
S015,short,2026-06-30 09:30:46,2026-06-30 09:41:34,648.0,16,2.29,2.29,4022.914672489083,4023.329956331878,4014.64,4031.21,16.570000000000164,-95.10000000000002,0.0,0.0,-95.10000000000002,-0.41528384279475994,-0.4152838427949064,10,False,7.0,105.0,0.40000000000009095,0,loss
L022,long,2026-06-30 09:36:00,2026-06-30 09:40:16,256.0,3,0.06,0.06,4026.4700000000007,4023.0300000000007,4031.86,4022.44,9.420000000000073,-20.64,0.0,0.0,-20.64,-3.44,-3.4400000000000546,3,False,107.5,109.0,4.710000000000036,0,loss
L023,long,2026-06-30 10:00:07,2026-06-30 10:00:09,2.0,1,0.02,0.02,4030.0699999999997,4029.2799999999997,4030.07,4030.07,0.0,-1.58,0.0,0.0,-1.58,-0.79,-0.7899999999999636,1,True,,,,0,loss
