basket,dir,level,dprice,adverse,dt_s,lot_prev,lot_new
L084,long,5,-2.8299999999999272,2.8299999999999272,52.0,0.05,0.06
L084,long,6,-1.8299999999999272,1.8299999999999272,74.0,0.06,0.08
L084,long,7,-1.8500000000003638,1.8500000000003638,284.0,0.08,0.11
L084,long,8,-0.8299999999999272,0.8299999999999272,59.0,0.11,0.14
L084,long,9,-1.8699999999998909,1.8699999999998909,574.0,0.14,0.18
L085,long,1,-2.4099999999998545,2.4099999999998545,102.0,0.02,0.02
L086,long,1,-2.3299999999999272,2.3299999999999272,120.0,0.02,0.02
L086,long,2,-4.289999999999964,4.289999999999964,53.0,0.02,0.03
L086,long,3,-0.7300000000004729,0.7300000000004729,348.0,0.03,0.04
L086,long,4,-2.350000000000364,2.350000000000364,51.0,0.04,0.05
L087,long,1,-0.47999999999956344,0.47999999999956344,31.0,0.02,0.02
L087,long,2,-1.6199999999998909,1.6199999999998909,314.0,0.02,0.03
L088,long,1,-3.469999999999345,3.469999999999345,103.0,0.02,0.02
L088,long,2,-3.5200000000004366,3.5200000000004366,169.0,0.02,0.03
L088,long,3,-0.680000000000291,0.680000000000291,2012.0,0.03,0.04
L088,long,4,-3.3599999999996726,3.3599999999996726,160.0,0.04,0.05
L088,long,5,-1.0799999999999272,1.0799999999999272,59.0,0.05,0.06
L089,long,1,-2.030000000000655,2.030000000000655,614.0,0.02,0.02
L090,long,1,-2.480000000000473,2.480000000000473,1037.0,0.02,0.02
L090,long,2,-1.1199999999998909,1.1199999999998909,106.0,0.02,0.03
L091,long,1,-1.4200000000000728,1.4200000000000728,904.0,0.02,0.02
L091,long,2,-1.5600000000004002,1.5600000000004002,702.0,0.02,0.03
L091,long,3,-1.3400000000001455,1.3400000000001455,250.0,0.03,0.04
L091,long,4,-3.2299999999995634,3.2299999999995634,87.0,0.04,0.05
L091,long,5,-1.0399999999999636,1.0399999999999636,434.0,0.05,0.06
L091,long,6,-1.7899999999999636,1.7899999999999636,388.0,0.06,0.08
L092,long,1,-1.7799999999997453,1.7799999999997453,95.0,0.02,0.02
L092,long,2,-1.3099999999994907,1.3099999999994907,140.0,0.02,0.03
L092,long,3,-2.380000000000109,2.380000000000109,348.0,0.03,0.04
L092,long,4,-4.980000000000473,4.980000000000473,874.0,0.04,0.05
L092,long,5,-8.899999999999636,8.899999999999636,20.0,0.05,0.06
L092,long,6,-0.11999999999989086,0.11999999999989086,15.0,0.06,0.08
L092,long,7,-3.2000000000007276,3.2000000000007276,15.0,0.08,0.11
L092,long,8,-14.299999999999727,14.299999999999727,35.0,0.11,0.14
L092,long,9,2.300000000000182,-2.300000000000182,5.0,0.14,0.18
