Open Time,Ticket,Type,Size,Item,Price,Order,Comment,Entry,Commission,Fee,Swap,Profit,_sheet,_stmt
2026.07.02 18:31:47,403061433,sell,0.02,XAUUSD-STDc,4127.75,537768779,copy #953779850,out,0,0,0,7.12,Sheet13,2026.07.02 23:59
2026.07.02 18:31:47,403061556,sell,0.02,XAUUSD-STDc,4127.75,537769001,copy #953779906,out,0,0,0,2.8,Sheet13,2026.07.02 23:59
2026.07.02 18:41:20,403076206,buy,0.02,XAUUSD-STDc,4126.91,537783365,copy #953805319,in,0,0,0,0,Sheet13,2026.07.02 23:59
2026.07.02 18:47:48,403084317,sell,0.02,XAUUSD-STDc,4129.02,537791667,copy #953817785,out,0,0,0,4.22,Sheet13,2026.07.02 23:59
2026.07.02 18:49:20,403087221,sell,0.02,XAUUSD-STDc,4128.98,537794431,copy #953820712,in,0,0,0,0,Sheet13,2026.07.02 23:59
2026.07.02 18:51:19,403089440,buy,0.02,XAUUSD-STDc,4126.69,537796814,copy #953824659,out,0,0,0,4.58,Sheet13,2026.07.02 23:59
2026.07.01 14:26:59,399395555,sell,0.7,XAUUSD-STDc,4022.74,534005641,copy #949007463,in,0,0,0,0,Sheet14,2026.07.01 23:59
2026.07.01 14:26:59,399395662,sell,0.54,XAUUSD-STDc,4022.74,534005815,copy #949007469,in,0,0,0,0,Sheet14,2026.07.01 23:59
2026.07.01 14:27:00,399396068,sell,0.41,XAUUSD-STDc,4022.95,534006027,copy #949007536,in,0,0,0,0,Sheet14,2026.07.01 23:59
2026.07.01 14:27:03,399396259,sell,0.31,XAUUSD-STDc,4022.9,534006306,copy #949007986,in,0,0,0,0,Sheet14,2026.07.01 23:59
2026.07.01 14:27:12,399396655,sell,0.24,XAUUSD-STDc,4023.4,534006594,copy #949008471,in,0,0,0,0,Sheet14,2026.07.01 23:59
2026.07.01 14:27:23,399396715,sell,0.18,XAUUSD-STDc,4023.71,534006787,copy #949008705,in,0,0,0,0,Sheet14,2026.07.01 23:59
2026.07.01 14:27:25,399397014,sell,0.09,XAUUSD-STDc,4022.83,534007137,copy #949008770,in,0,0,0,0,Sheet14,2026.07.01 23:59
2026.07.01 14:27:25,399397103,sell,0.14,XAUUSD-STDc,4022.83,534006964,copy #949008753,in,0,0,0,0,Sheet14,2026.07.01 23:59
2026.07.01 14:27:25,399397135,sell,0.11,XAUUSD-STDc,4022.83,534007311,copy #949008772,in,0,0,0,0,Sheet14,2026.07.01 23:59
2026.07.01 14:29:48,399405897,sell,0.9,XAUUSD-STDc,4025.97,534016043,copy #949017503,in,0,0,0,0,Sheet14,2026.07.01 23:59
2026.07.01 14:43:47,399425166,sell,1.17,XAUUSD-STDc,4029.17,534035730,copy #949051066,in,0,0,0,0,Sheet14,2026.07.01 23:59
2026.07.01 14:44:05,399428710,sell,1.52,XAUUSD-STDc,4030.86,534039271,copy #949056413,in,0,0,0,0,Sheet14,2026.07.01 23:59
2026.07.01 14:47:26,399435483,sell,1.98,XAUUSD-STDc,4032.09,534046101,copy #949070405,in,0,0,0,0,Sheet14,2026.07.01 23:59
2026.07.01 14:48:25,399438862,sell,2.57,XAUUSD-STDc,4033.09,534049497,copy #949075703,in,0,0,0,0,Sheet14,2026.07.01 23:59
2026.07.01 14:50:39,399444101,sell,3.34,XAUUSD-STDc,4034.87,534054858,copy #949085383,in,0,0,0,0,Sheet14,2026.07.01 23:59
2026.07.01 15:02:01,399452725,buy,3.34,XAUUSD-STDc,4029.63,534063818,copy #949108681,out,0,0,0,1 750.16,Sheet14,2026.07.01 23:59
2026.07.01 15:02:01,399452809,buy,2.57,XAUUSD-STDc,4029.81,534064014,copy #949108824,out,0,0,0,842.96,Sheet14,2026.07.01 23:59
2026.07.01 15:02:02,399453016,buy,1.52,XAUUSD-STDc,4030.34,534064203,copy #949109025,out,0,0,0,79.04,Sheet14,2026.07.01 23:59
2026.07.01 15:02:02,399453221,buy,1.98,XAUUSD-STDc,4030.29,534064397,copy #949109210,out,0,0,0,356.4,Sheet14,2026.07.01 23:59
2026.07.01 15:02:03,399453446,buy,1.17,XAUUSD-STDc,4030.34,534064570,copy #949109255,out,0,0,0,-136.89,Sheet14,2026.07.01 23:59
