Open Time,Ticket,Type,Size,Item,Price,S / L,T / P,Time,State,Comment,_sheet,_stmt
2026.06.29 19:05:59,524409936,buy,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.29 19:06:00,filled,copy #942144206,Sheet15,2026.06.30 23:59
2026.06.29 19:05:59,524409756,buy,0.03 / 0.03,XAUUSD-STDc,market,0,0,2026.06.29 19:06:00,filled,copy #942144179,Sheet15,2026.06.30 23:59
2026.06.29 19:15:25,524427516,buy,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.29 19:15:25,filled,copy #942160759,Sheet15,2026.06.30 23:59
2026.06.29 19:16:08,524437082,buy,0.03 / 0.03,XAUUSD-STDc,market,0,0,2026.06.29 19:16:08,filled,copy #942165690,Sheet15,2026.06.30 23:59
2026.06.29 19:33:09,524469067,buy,0.04 / 0.04,XAUUSD-STDc,market,0,0,2026.06.29 19:33:09,filled,copy #942192767,Sheet15,2026.06.30 23:59
2026.06.29 19:48:37,524489567,sell,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.29 19:48:38,filled,copy #942215421,Sheet15,2026.06.30 23:59
2026.06.29 19:49:41,524493106,sell,0.04 / 0.04,XAUUSD-STDc,market,0,0,2026.06.29 19:49:41,filled,copy #942216839,Sheet15,2026.06.30 23:59
2026.06.29 19:49:41,524493626,sell,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.29 19:49:42,filled,copy #942216922,Sheet15,2026.06.30 23:59
2026.06.29 19:49:41,524493858,sell,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.29 19:49:42,filled,copy #942216976,Sheet15,2026.06.30 23:59
2026.06.29 19:49:41,524493350,sell,0.03 / 0.03,XAUUSD-STDc,market,0,0,2026.06.29 19:49:42,filled,copy #942216906,Sheet15,2026.06.30 23:59
2026.06.29 19:50:51,524506538,sell,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.29 19:50:51,filled,copy #942225597,Sheet15,2026.06.30 23:59
2026.06.29 20:00:30,524517302,buy,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.29 20:00:30,filled,copy #942238364,Sheet15,2026.06.30 23:59
2026.06.29 20:05:19,524523951,sell,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.29 20:05:19,filled,copy #942244154,Sheet15,2026.06.30 23:59
2026.06.29 20:08:39,524541012,sell,0.03 / 0.03,XAUUSD-STDc,market,0,0,2026.06.29 20:08:39,filled,copy #942255996,Sheet15,2026.06.30 23:59
2026.06.29 20:24:31,524568455,buy,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.29 20:24:31,filled,copy #942282171,Sheet15,2026.06.30 23:59
2026.06.29 20:26:01,524580831,buy,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.29 20:26:02,filled,copy #942288234,Sheet15,2026.06.30 23:59
2026.06.29 20:26:02,524581088,buy,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.29 20:26:02,filled,copy #942288341,Sheet15,2026.06.30 23:59
2026.06.29 20:26:02,524581267,buy,0.03 / 0.03,XAUUSD-STDc,market,0,0,2026.06.29 20:26:02,filled,copy #942288351,Sheet15,2026.06.30 23:59
2026.06.29 20:26:31,524587136,buy,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.29 20:26:31,filled,copy #942292153,Sheet15,2026.06.30 23:59
2026.06.29 20:32:31,524609657,buy,0.03 / 0.03,XAUUSD-STDc,market,0,0,2026.06.29 20:32:31,filled,copy #942310607,Sheet15,2026.06.30 23:59
2026.06.29 20:59:03,524635601,buy,0.04 / 0.04,XAUUSD-STDc,market,0,0,2026.06.29 20:59:03,filled,copy #942343570,Sheet15,2026.06.30 23:59
2026.06.29 21:13:20,524645481,sell,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.29 21:13:20,filled,copy #942356010,Sheet15,2026.06.30 23:59
2026.06.29 21:13:20,524645651,sell,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.29 21:13:20,filled,copy #942356011,Sheet15,2026.06.30 23:59
