pair,year,gap_start,gap_end,gap_minutes,missing_minutes
GBPUSD,2023,2023-02-21T09:59:00Z,2023-02-21T11:00:00Z,61,60
GBPUSD,2023,2023-02-21T11:59:00Z,2023-02-21T13:00:00Z,61,60
GBPUSD,2023,2023-02-21T13:59:00Z,2023-02-21T15:00:00Z,61,60
GBPUSD,2023,2023-02-21T15:59:00Z,2023-02-21T17:00:00Z,61,60
GBPUSD,2023,2023-02-21T17:59:00Z,2023-02-21T19:00:00Z,61,60
GBPUSD,2023,2023-02-22T05:59:00Z,2023-02-22T07:00:00Z,61,60
GBPUSD,2023,2023-02-22T07:59:00Z,2023-02-22T09:00:00Z,61,60
GBPUSD,2023,2023-02-22T09:59:00Z,2023-02-22T11:00:00Z,61,60
GBPUSD,2023,2023-02-22T11:59:00Z,2023-02-22T13:00:00Z,61,60
GBPUSD,2023,2023-02-22T13:59:00Z,2023-02-22T15:00:00Z,61,60
GBPUSD,2023,2023-02-22T15:59:00Z,2023-02-22T17:00:00Z,61,60
GBPUSD,2023,2023-02-22T17:59:00Z,2023-02-22T19:00:00Z,61,60
GBPUSD,2023,2023-02-23T04:59:00Z,2023-02-23T06:00:00Z,61,60
GBPUSD,2023,2023-02-23T07:59:00Z,2023-02-23T09:00:00Z,61,60
GBPUSD,2023,2023-02-23T09:59:00Z,2023-02-23T11:00:00Z,61,60
GBPUSD,2023,2023-02-23T11:59:00Z,2023-02-23T14:00:00Z,121,120
GBPUSD,2023,2023-02-23T15:59:00Z,2023-02-23T17:00:00Z,61,60
GBPUSD,2023,2023-02-23T17:59:00Z,2023-02-23T19:00:00Z,61,60
GBPUSD,2023,2023-02-24T04:59:00Z,2023-02-24T06:00:00Z,61,60
GBPUSD,2023,2023-02-24T07:59:00Z,2023-02-24T09:00:00Z,61,60
GBPUSD,2023,2023-02-24T09:59:00Z,2023-02-24T11:00:00Z,61,60
GBPUSD,2023,2023-02-24T11:59:00Z,2023-02-24T13:00:00Z,61,60
GBPUSD,2023,2023-02-24T13:59:00Z,2023-02-24T15:00:00Z,61,60
GBPUSD,2023,2023-02-24T15:59:00Z,2023-02-27T00:00:00Z,481,480
